-89.50, 0.81
-88.48, 0.82
-87.46, 0.82
-86.44, 0.83
-85.42, 0.83
-84.31, 0.89
-83.38, 1.51
-83.38, 0.84
-82.61, 0.67
-82.35, 1.84
-82.35, 1.18
-81.33, 1.43
-81.25, 2.18
-80.57, 1.85
-80.23, 2.52
-79.55, 2.19
-79.21, 2.86
-78.27, 3.53
-78.27, 2.86
-77.25, 3.12
-77.17, 3.87
-76.49, 3.54
-76.15, 4.21
-75.47, 3.71
-75.21, 4.88
-75.21, 4.21
-74.19, 5.22
-74.19, 4.55
-73.17, 4.81
-73.09, 5.56
-72.41, 5.23
-72.07, 5.90
-71.39, 5.56
-71.05, 6.24
-70.11, 7.24
-70.11, 6.57
-70.11, 5.99
-69.60, 7.91
-69.09, 8.58
-69.09, 7.25
-69.09, 6.66
-68.58, 9.26
-68.58, 7.92
-68.32, 7.42
-68.07, 9.93
-68.07, 8.59
-67.81, 8.09
-67.47, 10.60
-67.47, 9.32
-67.05, 11.60
-66.79, 9.76
-66.54, 12.27
-66.54, 10.94
-66.54, 10.35
-66.03, 12.95
-66.03, 11.61
-65.77, 11.11
-65.52, 13.62
-65.52, 12.28
-65.26, 11.78
-64.92, 14.29
-64.92, 12.95
-64.50, 15.29
-64.24, 13.96
-64.24, 13.45
-63.90, 15.96
-63.90, 14.63
-63.48, 16.97
-63.22, 15.63
-63.22, 14.96
-62.88, 17.64
-62.88, 16.30
-62.46, 18.65
-62.20, 17.31
-62.20, 16.64
-61.86, 19.32
-61.86, 17.98
-61.44, 20.32
-61.18, 18.99
-61.18, 18.32
-60.84, 20.99
-60.84, 19.66
-60.42, 22.00
-60.16, 19.99
-59.91, 22.67
-59.91, 21.33
-59.91, 20.75
-59.40, 24.01
-59.40, 23.34
-59.40, 22.00
-59.14, 21.50
-58.80, 24.68
-58.80, 22.73
-58.37, 25.69
-58.37, 23.68
-58.12, 23.18
-57.86, 24.27
-57.78, 26.36
-57.78, 25.02
-57.27, 27.36
-57.10, 25.69
-57.10, 25.19
-56.76, 28.37
-56.76, 26.42
-56.25, 29.38
-56.25, 27.42
-55.82, 30.38
-55.82, 28.37
-55.57, 27.87
-55.31, 31.05
-55.31, 29.71
-55.31, 29.05
-54.80, 32.39
-54.80, 31.72
-54.80, 30.39
-54.55, 29.88
-54.21, 33.06
-54.21, 31.11
-53.70, 34.07
-53.70, 32.12
-53.19, 35.08
-53.19, 33.12
-52.68, 36.08
-52.68, 34.13
-52.17, 37.09
-52.17, 35.13
-51.66, 38.09
-51.66, 36.14
-51.15, 39.10
-51.15, 37.09
-50.64, 40.10
-50.64, 38.10
-50.21, 41.11
-50.21, 39.10
-49.96, 38.60
-49.70, 41.78
-49.70, 40.44
-49.70, 39.77
-49.11, 42.45
-49.11, 41.11
-48.68, 43.46
-48.43, 41.62
-48.17, 44.13
-48.17, 42.79
-48.17, 42.20
-47.58, 44.80
-47.58, 43.46
-47.15, 45.80
